"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","SOURCE","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","RH1","WND"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T00:00:00","4","FM-12","99999","V020",,"030,1,N,0082,1"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T00:53:00","7","FM-15","KDFW ","V030",,"020,5,N,0072,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T01:53:00","7","FM-15","KDFW ","V030",,"030,5,N,0072,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T02:53:00","7","FM-15","KDFW ","V030",,"030,5,N,0067,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T03:00:00","4","FM-12","99999","V020",,"030,1,N,0067,1"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T03:53:00","7","FM-15","KDFW ","V030",,"030,5,N,0062,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T04:53:00","7","FM-15","KDFW ","V030",,"040,5,N,0057,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T05:53:00","7","FM-15","KDFW ","V030",,"040,5,N,0062,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T05:59:00","6","SOD  ","KDFW ","V030","024,X,092,D,4","999,9,9,9999,9"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T06:00:00","4","FM-12","99999","V020",,"040,1,N,0062,1"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T06:46:00","7","FM-16","KDFW ","V030",,"030,5,N,0077,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T06:53:00","7","FM-15","KDFW ","V030",,"040,5,N,0057,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T07:45:00","7","FM-16","KDFW ","V030",,"020,5,N,0057,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T07:53:00","7","FM-15","KDFW ","V030",,"020,5,N,0057,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T08:06:00","7","FM-16","KDFW ","V030",,"360,5,N,0072,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T08:39:00","7","FM-16","KDFW ","V030",,"360,5,N,0077,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T08:53:00","7","FM-15","KDFW ","V030",,"360,5,N,0072,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T09:00:00","4","FM-12","99999","V020",,"360,1,N,0072,1"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T09:28:00","7","FM-16","KDFW ","V030",,"010,5,N,0072,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T09:51:00","6","FM-16","KDFW ","V030",,"010,5,N,0077,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T09:53:00","7","FM-15","KDFW ","V030",,"010,5,N,0067,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T10:32:00","7","FM-16","KDFW ","V030",,"020,5,N,0067,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T10:51:00","6","FM-16","KDFW ","V030",,"010,5,N,0062,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T10:53:00","7","FM-15","KDFW ","V030",,"020,5,N,0067,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T11:33:00","7","FM-16","KDFW ","V030",,"020,5,N,0072,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T11:51:00","6","FM-16","KDFW ","V030",,"010,5,N,0077,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T11:53:00","7","FM-15","KDFW ","V030",,"010,5,N,0067,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T12:00:00","4","FM-12","99999","V020",,"010,1,N,0067,1"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T12:10:00","7","FM-16","KDFW ","V030",,"360,5,N,0077,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T12:27:00","7","FM-16","KDFW ","V030",,"030,5,N,0082,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T12:53:00","7","FM-15","KDFW ","V030",,"030,5,N,0077,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T13:08:00","7","FM-16","KDFW ","V030",,"030,5,N,0082,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T13:29:00","7","FM-16","KDFW ","V030",,"030,5,N,0057,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T13:53:00","7","FM-15","KDFW ","V030",,"360,5,N,0062,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T14:03:00","6","FM-16","KDFW ","V030",,"010,5,N,0077,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T14:20:00","7","FM-16","KDFW ","V030",,"360,5,N,0072,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T14:53:00","7","FM-15","KDFW ","V030",,"010,5,N,0082,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T15:00:00","4","FM-12","99999","V020",,"010,1,N,0082,1"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T15:18:00","7","FM-16","KDFW ","V030",,"020,5,N,0067,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T15:31:00","7","FM-16","KDFW ","V030",,"360,5,N,0082,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T15:53:00","7","FM-15","KDFW ","V030",,"360,5,N,0088,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T16:51:00","6","FM-16","KDFW ","V030",,"010,5,N,0093,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T16:53:00","7","FM-15","KDFW ","V030",,"010,5,N,0098,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T17:07:00","7","FM-16","KDFW ","V030",,"010,5,N,0072,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T17:53:00","7","FM-15","KDFW ","V030",,"360,5,N,0098,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T18:00:00","4","FM-12","99999","V020",,"360,1,N,0098,1"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T18:03:00","7","FM-16","KDFW ","V030",,"360,5,N,0082,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T18:38:00","7","FM-16","KDFW ","V030",,"360,5,N,0103,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T18:53:00","7","FM-15","KDFW ","V030",,"010,5,N,0093,5"
"72259003927","DAL FTW WSCMO AIRPORT, TX US","32.89744","-97.02196","165.7","2021-02-14T19:51:00","6","FM-16","KDFW ","V030",,"010,5,N,0088,5"
